# [격리·보류] 세모이 약어 — xlsx 권위 재키잉에서 자판미도달 또는 키 충돌로 보류된 분.
#   자판미도달 = 조합키 토큰이 슬롯-역할에 안 맞거나(중성 슬롯에 자음 등) 매핑 불가.
#   충돌 = 같은 canonical 키가 다른 단어로 중복 → 임의 우선순위 덮어쓰기 금지(둘 다 보류).
# 폐기 아님(xlsx 정본 유지, raw.tsv 역추론은 교차검증용). 추측 매핑 금지.
# ★본가 문의(2026-06-19): 이 5건 조합키 표기(슬롯-역할 불일치)의 입력 의도를 세모이 본가에 문의 →
#   https://github.com/Sinseiki/Semo-e_keyboard/issues/1 .
# ★회신 반영(2026-07-05, 신세기 님 직접 확인): 직원·확인·만나게 3건 = 중성↔종성 입력이 밀린
#   데이터 오류(작성자 본인 확인) → E↔F 스왑으로 재소싱 완료(더 이상 보류 아님, gen 스크립트
#   EF_SWAP_WORDS 보정 참조). 남은 2건(그냥·느냐?)의 'ㅗ(왼쪽)' = 실제 모음이 아니라 왼쪽
#   모음시프트+g 라는 엄지-약어 전용 트리거의 xlsx 표기(의도된 설계) → 재소싱 대상 아님(확인된
#   미도달). 이 2건은 폐기도 재소싱도 아닌 확정 사실로 holdback 유지가 정답.
# 형식: <단어>\t조합키[D|E|F]\t# <보류사유>
그냥 	D=ㄴ|E=ㅡ+ㅗ(왼쪽)|F=ㅇ	# 매핑불가 토큰 'ㅗ(왼쪽)'(슬롯 JUNG)
느냐? 	D=ㄴ|E=ㅡ+ㅗ(왼쪽)|F=	# 매핑불가 토큰 'ㅗ(왼쪽)'(슬롯 JUNG)
